"Id","LandSlope","Gentle Slope","Moderate Slope","Severe Slope"
1,"Gentle Slope",1,0,0
2,"Gentle Slope",1,0,0
3,"Gentle Slope",1,0,0
4,"Gentle Slope",1,0,0
5,"Gentle Slope",1,0,0
6,"Gentle Slope",1,0,0
7,"Gentle Slope",1,0,0
8,"Gentle Slope",1,0,0
9,"Gentle Slope",1,0,0
10,"Gentle Slope",1,0,0
11,"Gentle Slope",1,0,0
12,"Gentle Slope",1,0,0
13,"Gentle Slope",1,0,0
14,"Gentle Slope",1,0,0
15,"Gentle Slope",1,0,0
16,"Gentle Slope",1,0,0
17,"Gentle Slope",1,0,0
18,"Gentle Slope",1,0,0
19,"Gentle Slope",1,0,0
20,"Gentle Slope",1,0,0
21,"Gentle Slope",1,0,0
22,"Gentle Slope",1,0,0
23,"Gentle Slope",1,0,0
24,"Gentle Slope",1,0,0
25,"Gentle Slope",1,0,0
26,"Gentle Slope",1,0,0
27,"Gentle Slope",1,0,0
28,"Gentle Slope",1,0,0
29,"Gentle Slope",1,0,0
30,"Gentle Slope",1,0,0
31,"Gentle Slope",1,0,0
32,"Gentle Slope",1,0,0
33,"Gentle Slope",1,0,0
34,"Gentle Slope",1,0,0
35,"Gentle Slope",1,0,0
36,"Gentle Slope",1,0,0
37,"Gentle Slope",1,0,0
38,"Gentle Slope",1,0,0
39,"Gentle Slope",1,0,0
40,"Gentle Slope",1,0,0
41,"Gentle Slope",1,0,0
42,"Gentle Slope",1,0,0
43,"Gentle Slope",1,0,0
44,"Gentle Slope",1,0,0
45,"Gentle Slope",1,0,0
46,"Gentle Slope",1,0,0
47,"Gentle Slope",1,0,0
48,"Gentle Slope",1,0,0
49,"Gentle Slope",1,0,0
50,"Gentle Slope",1,0,0
51,"Gentle Slope",1,0,0
52,"Gentle Slope",1,0,0
53,"Moderate Slope",0,1,0
54,"Gentle Slope",1,0,0
55,"Moderate Slope",0,1,0
56,"Gentle Slope",1,0,0
57,"Gentle Slope",1,0,0
58,"Gentle Slope",1,0,0
59,"Gentle Slope",1,0,0
60,"Gentle Slope",1,0,0
61,"Gentle Slope",1,0,0
62,"Gentle Slope",1,0,0
63,"Gentle Slope",1,0,0
64,"Gentle Slope",1,0,0
65,"Gentle Slope",1,0,0
66,"Gentle Slope",1,0,0
67,"Gentle Slope",1,0,0
68,"Gentle Slope",1,0,0
69,"Gentle Slope",1,0,0
70,"Gentle Slope",1,0,0
71,"Gentle Slope",1,0,0
72,"Gentle Slope",1,0,0
73,"Gentle Slope",1,0,0
74,"Gentle Slope",1,0,0
75,"Gentle Slope",1,0,0
76,"Gentle Slope",1,0,0
77,"Gentle Slope",1,0,0
78,"Gentle Slope",1,0,0
79,"Gentle Slope",1,0,0
80,"Gentle Slope",1,0,0
81,"Gentle Slope",1,0,0
82,"Gentle Slope",1,0,0
83,"Gentle Slope",1,0,0
84,"Gentle Slope",1,0,0
85,"Gentle Slope",1,0,0
86,"Gentle Slope",1,0,0
87,"Gentle Slope",1,0,0
88,"Gentle Slope",1,0,0
89,"Gentle Slope",1,0,0
90,"Gentle Slope",1,0,0
91,"Gentle Slope",1,0,0
92,"Gentle Slope",1,0,0
93,"Gentle Slope",1,0,0
94,"Gentle Slope",1,0,0
95,"Gentle Slope",1,0,0
96,"Gentle Slope",1,0,0
97,"Gentle Slope",1,0,0
98,"Gentle Slope",1,0,0
99,"Gentle Slope",1,0,0
100,"Gentle Slope",1,0,0
101,"Gentle Slope",1,0,0
102,"Gentle Slope",1,0,0
103,"Gentle Slope",1,0,0
104,"Gentle Slope",1,0,0
105,"Gentle Slope",1,0,0
106,"Gentle Slope",1,0,0
107,"Gentle Slope",1,0,0
108,"Gentle Slope",1,0,0
109,"Gentle Slope",1,0,0
110,"Gentle Slope",1,0,0
111,"Gentle Slope",1,0,0
112,"Gentle Slope",1,0,0
113,"Gentle Slope",1,0,0
114,"Gentle Slope",1,0,0
115,"Moderate Slope",0,1,0
116,"Gentle Slope",1,0,0
117,"Gentle Slope",1,0,0
118,"Gentle Slope",1,0,0
119,"Gentle Slope",1,0,0
120,"Gentle Slope",1,0,0
121,"Severe Slope",0,0,1
122,"Gentle Slope",1,0,0
123,"Gentle Slope",1,0,0
124,"Gentle Slope",1,0,0
125,"Gentle Slope",1,0,0
126,"Gentle Slope",1,0,0
127,"Gentle Slope",1,0,0
128,"Gentle Slope",1,0,0
129,"Gentle Slope",1,0,0
130,"Gentle Slope",1,0,0
131,"Gentle Slope",1,0,0
132,"Gentle Slope",1,0,0
133,"Gentle Slope",1,0,0
134,"Gentle Slope",1,0,0
135,"Gentle Slope",1,0,0
136,"Gentle Slope",1,0,0
137,"Gentle Slope",1,0,0
138,"Gentle Slope",1,0,0
139,"Gentle Slope",1,0,0
140,"Gentle Slope",1,0,0
141,"Gentle Slope",1,0,0
142,"Gentle Slope",1,0,0
143,"Gentle Slope",1,0,0
144,"Gentle Slope",1,0,0
145,"Gentle Slope",1,0,0
146,"Gentle Slope",1,0,0
147,"Gentle Slope",1,0,0
148,"Gentle Slope",1,0,0
149,"Gentle Slope",1,0,0
150,"Gentle Slope",1,0,0
151,"Gentle Slope",1,0,0
152,"Gentle Slope",1,0,0
153,"Gentle Slope",1,0,0
154,"Gentle Slope",1,0,0
155,"Gentle Slope",1,0,0
156,"Gentle Slope",1,0,0
157,"Gentle Slope",1,0,0
158,"Gentle Slope",1,0,0
159,"Gentle Slope",1,0,0
160,"Gentle Slope",1,0,0
161,"Gentle Slope",1,0,0
162,"Gentle Slope",1,0,0
163,"Gentle Slope",1,0,0
164,"Gentle Slope",1,0,0
165,"Gentle Slope",1,0,0
166,"Gentle Slope",1,0,0
167,"Gentle Slope",1,0,0
168,"Gentle Slope",1,0,0
169,"Gentle Slope",1,0,0
170,"Gentle Slope",1,0,0
171,"Gentle Slope",1,0,0
172,"Gentle Slope",1,0,0
173,"Gentle Slope",1,0,0
174,"Gentle Slope",1,0,0
175,"Gentle Slope",1,0,0
176,"Gentle Slope",1,0,0
177,"Gentle Slope",1,0,0
178,"Gentle Slope",1,0,0
179,"Gentle Slope",1,0,0
180,"Gentle Slope",1,0,0
181,"Gentle Slope",1,0,0
182,"Gentle Slope",1,0,0
183,"Gentle Slope",1,0,0
184,"Gentle Slope",1,0,0
185,"Gentle Slope",1,0,0
186,"Gentle Slope",1,0,0
187,"Gentle Slope",1,0,0
188,"Gentle Slope",1,0,0
189,"Gentle Slope",1,0,0
