"Id","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","lotfrontage_normmean","garagearea_normmean","grlivarea_normmean","totalbsmtsf_normmean","saleprice_normmean"
15,NULL,10920,352,1253,1253,157000,1,-0.08531744498328729,-0.04944681586852619,0.03200827298612201,-0.03321926939371054
17,NULL,11241,480,1004,1004,149000,1,0.004950538091465889,-0.09635713990771232,-0.008744591170997467,-0.04432883750925005
25,NULL,8246,270,1060,1060,154000,1,-0.14314537164055105,-0.08580702687078692,0.00042071161132659237,-0.03738535743703785
29,47,16321,319,1600,1484,207500,-0.07893821358913235,-0.10858965936974709,0.01592620598527939,0.06981514696320876,0.036909879335632605
30,60,6324,240,520,520,68500,-0.03441766564392686,-0.16430193017369632,-0.18754025972685323,-0.08795899378965541,-0.15611886667186636
32,NULL,8544,271,1228,1228,149350,1,-0.14244015302277951,-0.05415668776001074,0.02791661995829877,-0.043842793904195196
34,70,10552,447,1700,1398,165500,-0.0001710903014611113,-0.018321676294993913,0.0347656935512176,0.05573986054749681,-0.021415353270949813
43,NULL,9180,504,884,840,144000,1,0.02187578491798211,-0.11896452498683817,-0.03558583503351793,-0.05127231758146224
44,NULL,9200,308,938,938,130250,1,-0.11634706416523369,-0.10879120170123154,-0.01954655516445082,-0.07036688778004577
47,48,12822,670,2149,1434,239686,-0.07551355605488577,0.13894207546805262,0.11935499272228015,0.06163184090756227,0.08160644925647693
54,68,50271,894,1842,1842,385000,-0.007020405369954262,0.2969110458488707,0.06151776589484985,0.12840761832163755,0.28340342189916545
56,100,10175,576,1425,1425,180500,0.10256863572593615,0.07265152539753077,-0.01704289725511247,0.06015884581754591,-0.0005849130543132329
58,89,11645,565,1720,860,196500,0.06489740284922382,0.06489412060204416,0.03853359106440524,-0.03231251261125933,0.021634223176765784
63,44,6442,484,1370,1370,202500,-0.08921218619187207,0.007771412562551925,-0.027404615416378484,0.051157209156334774,0.029966399263420415
64,50,10300,480,1710,576,140000,-0.06866424098639262,0.004950538091465889,0.03664964230781142,-0.07879369100733134,-0.05682710163923199
68,72,10665,558,1479,1453,226000,0.006678224767032039,0.0599575902776436,-0.006869573969505838,0.06474149720870793,0.06260075560281772
71,95,13651,516,2223,2223,244000,0.08544534805470327,0.03033840833124022,0.13329621352107443,0.19076441046566375,0.08759728386278162
73,74,10141,427,1718,832,185000,0.01352753983552519,-0.032426048650424096,0.03815680131308648,-0.03689516400242136,0.005664219010677741
77,NULL,8475,283,952,952,135750,1,-0.13397752960952142,-0.10615367344200019,-0.017255229468869808,-0.06272905970061236
84,80,8892,461,1065,1065,126500,0.03407548504100464,-0.008448615646192786,-0.08486505249249002,0.0012390422168912405,-0.07557449783420492
85,NULL,8530,400,1474,384,168500,1,-0.05146695133025485,-0.007811548347802748,-0.11021758626101383,-0.017249265227622497
89,105,8470,0,1526,1013,85000,0.11969192339716903,-0.33355439843885853,0.0019849851864851193,-0.0072715960809811,-0.1332053824335661
93,80,13360,432,964,876,163500,0.03407548504100464,-0.02889995556156655,-0.1038929349340876,-0.02969385467345246,-0.02419274529983469
95,69,9337,684,1786,824,204750,-0.0035957478357076865,0.14881513611685376,0.050967652857924456,-0.0382044929713248,0.0330909652959159
97,78,10264,472,1588,1588,214000,0.027226169972511493,-0.0006912108507061847,0.013665467477366808,0.08683642355895344,0.04593640342950846
100,77,9320,0,1225,950,128950,0.023801512438264918,-0.33355439843885853,-0.05472187238698888,-0.017582561711095665,-0.07217219259882093
101,NULL,10603,480,1610,1610,205000,1,0.004950538091465889,0.017810154741873214,0.09043707822343788,0.03343813929952651
104,94,10402,740,1226,1226,198900,0.0820206905204567,0.18830737871205827,-0.0545334775113295,0.02758928771607291,0.024967093611427637
110,105,11751,546,1844,1844,190000,0.11969192339716903,0.0514949668643855,0.061894555646168616,0.12873495056386342,0.012607699082889933
112,NULL,7750,400,1430,384,180000,1,-0.05146695133025485,-0.016100922876815558,-0.11021758626101383,-0.001279261061534452
125,48,17043,435,1586,1362,181000,-0.07551355605488577,-0.026784299708252024,0.013288677726048043,0.04984788018743134,0.00010943495290798639
127,NULL,4928,440,958,1078,128000,1,-0.023258206619394477,-0.1050233041880439,0.0033667017913593254,-0.07349145381254125
128,55,4388,0,840,672,87000,-0.05154095331515974,-0.33355439843885853,-0.12725389951585098,-0.06308174338049011,-0.13042799040468123
132,NULL,12224,390,2054,992,244000,1,-0.058519137507969936,0.10145747953463885,-0.010708584624352622,0.08759728386278162
134,NULL,6853,471,1296,1267,220000,1,-0.001396429468477694,-0.04134583621517276,0.03429959868170302,0.05426857951616309
135,78,10335,440,1721,1461,180000,0.027226169972511493,-0.023258206619394477,0.038721985940064624,0.06605082617761138,-0.001279261061534452
137,NULL,10355,318,1214,1214,143000,1,-0.1092948779875186,-0.05679421601924208,0.025625294262717754,-0.05266101359590468
139,73,9066,660,1852,1004,230000,0.010102882301278615,0.13188988929033754,0.06340171465144367,-0.008744591170997467,0.06815553966058747
140,65,15426,470,1764,928,231500,-0.017294377972693988,-0.002101648086249203,0.04682296559341805,-0.021183216375580117,0.07023858368225114
144,78,10335,577,1501,1490,204000,0.027226169972511493,0.07335674401530227,-0.0027248867049994322,0.07079714368988634,0.03204944328508407
148,NULL,9505,434,2035,884,222500,1,-0.027489518326023532,0.09787797689711059,-0.02838452570454902,0.05774031955226919
153,NULL,14803,495,1993,825,190000,1,0.015528817358038526,0.08996539211941654,-0.038040826850211866,0.012607699082889933
160,134,19378,576,2462,1392,320000,0.21900699189031972,0.07265152539753077,0.17832258880366672,0.05475786382081923,0.19313818096040694
161,NULL,11120,516,1232,1232,162500,1,0.03033840833124022,-0.05340310825737321,0.028571284442750488,-0.025581441314277125
162,110,13688,726,2668,1572,412500,0.13681521106840192,0.17843431806325713,0.21713193318949944,0.08421776562114656,0.3215925622963325
167,NULL,10708,303,1867,1617,190000,1,-0.11987315725409123,0.0662276377863344,0.0915827410712284,0.012607699082889933
169,62,8244,440,1720,840,183500,-0.027568350575433713,-0.023258206619394477,0.03853359106440524,-0.03558583503351793,0.0035811749890140828
170,NULL,16669,511,1707,1686,228000,1,0.026812315242382673,0.03608445768083327,0.10287570342802053,0.0653781476317026
171,NULL,12358,660,1382,720,128500,1,0.13188988929033754,-0.0251438769084659,-0.05522576956706948,-0.07279710580532003
172,141,31770,528,1656,1080,215000,0.24297959463004573,0.03880103174449833,0.026476319022204788,0.0036940340335851847,0.0473250994439509
53,110,8472,516,816,816,110000,0.13681521106840192,0.03033840833124022,-0.13177537653167615,-0.03951382194022823,-0.09848798207250516
173,44,5306,504,1767,1064,239000,-0.08921218619187207,0.02187578491798211,0.0473881502203962,0.001075376095778311,0.08065380379056943
55,60,7134,572,1360,384,130000,-0.03441766564392686,0.06983065092644473,-0.029288564172972303,-0.11021758626101383,-0.07071406178365638
174,80,10197,504,1362,1362,163000,0.03407548504100464,0.02187578491798211,-0.02891177442165354,0.04984788018743134,-0.024887093307055907
175,47,12416,616,1651,1606,184000,-0.07893821358913235,0.10086027010839113,0.02553434464390788,0.08978241373898617,0.004275522996235302
177,97,10029,521,2060,1151,211000,0.09229466312319642,0.03386450142009777,0.10258784878859514,0.015314328632603189,0.041770315386181145
179,63,17423,1166,2234,2216,501837,-0.024143693041187138,0.48873050988272115,0.13536855715332763,0.18961874761787323,0.44565449813857666
185,92,7438,576,1252,504,127000,0.07517137545196355,0.07265152539753077,-0.049635210744185566,-0.09057765172746228,-0.0748801498269837
187,NULL,9947,497,1217,1188,173000,1,0.016939254593581546,-0.056229031392263935,0.021369975113781584,-0.011000133162631522
192,NULL,7472,484,1479,725,184000,1,0.007771412562551925,-0.006869573969505838,-0.05440743896150483,0.004275522996235302
193,68,9017,666,1431,1431,192000,-0.007020405369954262,0.1361212009969666,-0.015912528001156178,0.06114084254422348,0.01538509111177481
195,60,7180,352,864,864,127000,-0.03441766564392686,-0.08531744498328729,-0.1227324225000258,-0.031657848126807615,-0.0748801498269837
207,40,13673,349,1696,1140,143900,-0.10291081632885837,-0.08743310083660182,0.034012114048580074,0.013514001300360963,-0.051411187182906486
208,NULL,12493,312,1100,1100,141000,1,-0.11352618969414766,-0.07827123184441163,0.006967356455843778,-0.055438405624789557
215,NULL,10900,299,1392,689,161750,1,-0.12269403172517727,-0.023259928151872077,-0.0602994193215703,-0.026622963325108957
216,72,10011,447,1236,1070,134450,0.006678224767032039,-0.018321676294993913,-0.05264952875473568,0.0020573728224558886,-0.06453436451938753
219,NULL,15660,431,1954,798,311500,1,-0.02960517417933806,0.08261799196870065,-0.04245981212026097,0.18133426483764623
221,73,8990,675,1498,1498,204900,0.010102882301278615,0.14246816855691016,-0.0032900713319775786,0.07210647265878976,0.033299269698082265
222,NULL,8068,390,2267,1010,200000,1,-0.058519137507969936,0.14158558805008722,-0.0077625944443198884,0.02649465922731432
227,82,9950,721,2520,1203,290000,0.04092480010949779,0.1749082249743996,0.1892494915919109,0.02382496693047553,0.1514773005271338
232,174,15138,810,2794,1462,403000,0.3559932932601827,0.23767268195606392,0.2408696875225816,0.0662144922987243,0.30839995015912935
238,NULL,9453,457,1744,996,194500,1,-0.011269490117278822,0.04305506808023041,-0.010053920139900904,0.018856831147880906
245,NULL,8880,463,2110,948,205000,1,-0.007038178410649768,0.11200759257156424,-0.017909893953321526,0.03343813929952651
251,55,5350,0,1306,728,76500,-0.05154095331515974,-0.33355439843885853,-0.03946188745857893,-0.05391644059816604,-0.14500929855632685
253,65,8366,520,1640,798,173000,-0.017294377972693988,0.03315928280232625,0.023462001011654673,-0.04245981212026097,-0.011000133162631522
256,66,8738,429,2291,975,230000,-0.013869720438447412,-0.03101561141488108,0.1461070650659124,-0.013490908683272426,0.06815553966058747
262,69,9588,868,2574,1482,276000,-0.0035957478357076865,0.27857536178681147,0.19942281487751753,0.0694878147209829,0.13203555632493966
263,88,8471,492,1212,506,151000,0.06147274531497725,0.013413161504723999,-0.05717100577056085,-0.09025031948523642,-0.04155144548036517
266,78,12090,576,1422,1422,175500,0.027226169972511493,0.07265152539753077,-0.017608081882090617,0.05966784745420712,-0.007528393126525426
267,70,11207,413,1511,802,185000,-0.0001710903014611113,-0.04229910929922522,-0.0008409379484056116,-0.04180514763580925,0.005664219010677741
270,NULL,7917,504,1113,1143,148000,1,0.02187578491798211,-0.07582209846083968,0.01400499966369975,-0.04571753352369248
273,92,11764,671,2270,1152,290000,0.07517137545196355,0.13964729408582413,0.14215077267706538,0.015477994753716117,0.1514773005271338
