"Id","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","lotfrontage_stddev","garagearea_stddev","grlivarea_stddev","totalbsmtsf_stddev","saleprice_stddev"
15,NULL,10920,352,1253,1253,157000,1,-0.5658437674465898,-0.499473827967349,0.4457902310307449,-0.3011133212365469
17,NULL,11241,480,1004,1004,149000,1,0.032833040477379956,-0.9733259599497237,-0.12178893000814378,-0.4018150830100044
25,NULL,8246,270,1060,1060,154000,1,-0.9493710975228831,-0.8667568057689486,0.005859395366064117,-0.3388764819015935
29,47,16321,319,1600,1484,207500,-0.949153550428545,-0.7201901319894883,0.16087432383138206,0.9723395731993525,0.3345665499584036
30,60,6324,240,520,520,68500,-0.4138382167276862,-1.0896859743800635,-1.8943879353692794,-1.2250351707423692,-1.4151265608554207
32,NULL,8544,271,1228,1228,149350,1,-0.944693934960977,-0.5470493432266236,0.3888043714886878,-0.3974093809324156
34,70,10552,447,1700,1398,165500,-0.0020571908039487318,-0.12151332406551851,0.35117638486848035,0.7763082163746761,-0.1941176993522483
43,NULL,9180,504,884,840,144000,1,0.1450849419631243,-1.2016884331942417,-0.49561616860403834,-0.46475368411841533
44,NULL,9200,308,938,938,130250,1,-0.7716389201704545,-1.0989253202342086,-0.2722315991991745,-0.6378348371665454
47,48,12822,670,2149,1434,239686,-0.9079754478361712,0.9214939272395227,1.2056326389250518,0.8583678541152383,0.7397149130134666
54,68,50271,894,1842,1842,385000,-0.08441339598869622,1.9691783411064698,0.62140531154116,1.78837708184161,2.568886889306992
56,100,10175,576,1425,1425,180500,1.2332858869672636,0.48184064642035734,-0.17215428298353994,0.8378529446800977,-0.005301896027015463
58,89,11645,565,1720,860,196500,0.7803267584511525,0.4303918582393912,0.38923679707590003,-0.45002748097039263,0.19610162751989954
63,44,6442,484,1370,1370,202500,-1.0726878582056663,0.051541690725004016,-0.276820416553944,0.7124840536875721,0.2716279488499927
64,50,10300,480,1710,576,140000,-0.8256192426514237,0.032833040477379956,0.37020659097219016,-1.0973868453681612,-0.5151045650051441
68,72,10665,558,1479,1453,226000,0.08029901438079877,0.39765172030604906,-0.06939117002350687,0.9016771073672016,0.5674393740595242
71,95,13651,516,2223,2223,244000,1.027395374005395,0.20121089270599649,1.3464561640925043,2.6568415812625603,0.7940183380498035
73,74,10141,427,1718,832,185000,0.16265521956554627,-0.2150565753036388,0.38543075585515807,-0.5138516436574966,0.051342844970554385
77,NULL,8475,283,952,952,135750,1,-0.8885679842181049,-1.0722830316890148,-0.24031951785562253,-0.5686023759472933
84,80,8892,461,1065,1065,126500,0.40972383511978877,-0.05603304819883431,-0.8572417027170938,0.017256567274475536,-0.6850387879978537
85,NULL,8530,400,1474,384,168500,1,-0.3413399644751012,-0.07890627307536177,-1.5350382466511598,-0.15635453868720173
89,105,8470,0,1526,1013,85000,1.4391763999291325,-2.212204989237507,0.020050798663929337,-0.10127402057300322,-1.2074291771976644
93,80,13360,432,964,876,163500,0.40972383511978877,-0.19167076249410872,-1.0494467843645632,-0.4135565308634761,-0.21929313979561266
95,69,9337,684,1786,824,204750,-0.04323529339632248,0.9869742031062069,0.5148361573603849,-0.5320871187109548,0.2999503193487776
